Date,Company,Open,High,Low,Close,Volume
29-05-2025,Google,173.295257,173.7135541,169.9389112,171.1639252,29317300
30-05-2025,Google,170.6559833,171.5125006,166.7618164,171.0444031,52639900
02-06-2025,Google,167.1601849,169.1819615,166.7120106,168.3453674,38612300
03-06-2025,Google,166.8116037,167.7975841,164.6105484,165.506897,45084900
04-06-2025,Google,166.0646474,167.5386486,165.6861817,167.369339,26900800
05-06-2025,Google,169.6500488,170.2376554,166.9111874,167.5286865,36379100
06-06-2025,Google,170.1380695,173.7932027,170.1380695,172.9765167,35731800
09-06-2025,Google,174.043487,175.9680047,173.8739724,175.5890808,28935900
10-06-2025,Google,175.6987675,180.5948039,174.4124438,178.0919495,61766100
11-06-2025,Google,179.2586188,179.8569029,176.2472055,176.8455048,31646800
12-06-2025,Google,175.6788256,176.217298,174.2529008,175.2001953,20941900
13-06-2025,Google,171.949474,176.6261351,171.8996132,174.1731262,27663100
16-06-2025,Google,174.2329455,176.4366655,174.1531712,176.2671509,27389200
17-06-2025,Google,175.2001893,176.8554708,174.0833802,175.4494781,24973000
18-06-2025,Google,175.5093003,176.0577388,172.7072963,172.8269653,28707500
20-06-2025,Google,173.4551732,173.8440631,164.9893338,166.1659698,75659900
23-06-2025,Google,165.7970377,166.8639861,161.5391798,164.720108,57671000
24-06-2025,Google,166.4451605,167.7414654,165.6574145,166.2955933,40524300
25-06-2025,Google,167.1531615,171.8697022,167.0733873,170.1944733,35479000
26-06-2025,Google,171.9394827,173.1959081,169.4565757,173.0463257,31796700
27-06-2025,Google,173.0463299,178.1717077,171.2414812,178.0221405,108140200
30-06-2025,Google,180.2657434,180.7144602,174.0833832,175.7286835,63378900
01-07-2025,Google,175.2400916,175.5890868,173.0363715,175.339798,35904500
02-07-2025,Google,175.0406332,178.3511961,174.5719842,178.1318207,29128900
03-07-2025,Google,177.9922336,179.1589035,176.5463613,179.0193024,21689700
07-07-2025,Google,178.5506411,178.7899639,175.180251,176.2870941,34175600
08-07-2025,Google,177.3440914,177.4437979,172.3184198,173.8640137,40442500
09-07-2025,Google,174.7514559,178.9295388,172.2785152,176.1175537,43025600
10-07-2025,Google,175.1303863,177.9224089,173.8839422,177.1147156,29252400
11-07-2025,Google,176.2870918,180.9138921,175.9779761,179.6774292,34282900
14-07-2025,Google,180.4950796,183.1475164,179.1688612,181.0435181,32536600
15-07-2025,Google,182.2899627,183.6959553,181.0834132,181.4822693,33448300
16-07-2025,Google,182.7187601,183.8056559,181.5121954,182.4495239,33104200
17-07-2025,Google,181.6218789,183.5364154,179.9665973,183.057785,31992600
18-07-2025,Google,184.8725985,185.8897012,183.1874187,184.5335693,34014500
21-07-2025,Google,185.7201805,189.7486814,185.6204589,189.5592346,45803100
22-07-2025,Google,190.9552486,191.1048158,186.9267477,190.7957001,44660200
23-07-2025,Google,190.9552342,191.9823029,188.6418267,189.6888428,58681900
24-07-2025,Google,196.4695279,197.3869091,190.4566821,191.6233521,74881700
25-07-2025,Google,191.4338793,193.7772004,190.7159262,192.6304626,39785900
28-07-2025,Google,193.0991291,193.4980004,190.297125,192.0321808,38139500
29-07-2025,Google,191.8825829,195.3626603,191.5335877,195.1931458,41389200
30-07-2025,Google,195.0436001,197.0379108,194.136185,195.9709473,32445400
31-07-2025,Google,195.1532699,195.4324722,190.5464021,191.3540955,51329200
01-08-2025,Google,188.4922584,190.2871409,187.285709,188.59198,34832200
04-08-2025,Google,189.7486955,194.7145404,189.5791809,194.4851837,31547400
05-08-2025,Google,194.1561209,197.2971541,193.3384463,194.1162262,31602300
06-08-2025,Google,193.9467075,196.0706532,193.1190668,195.5321808,21562900
07-08-2025,Google,196.4994405,196.9780708,193.7772105,195.9609833,26321800
08-08-2025,Google,196.6589812,202.033648,196.6091204,200.8470306,39161800
11-08-2025,Google,200.3683958,200.906853,198.5037202,200.4282227,25832400
12-08-2025,Google,200.7971538,203.9182547,200.0193739,202.7615509,30397900
13-08-2025,Google,203.5493233,203.9481793,196.9481446,201.385498,28342900
14-08-2025,Google,200.9268105,203.8584498,200.6575743,202.3627167,25230400
15-08-2025,Google,203.2701312,205.85276,200.7074346,203.3199768,34931400
18-08-2025,Google,203.6191178,204.6860813,201.9139906,202.9211121,18526600
19-08-2025,Google,202.4524508,202.8612882,199.3911918,200.9966125,24240200
20-08-2025,Google,200.1589834,200.7074219,196.0407423,198.753006,28955500
21-08-2025,Google,199.1817932,201.9040232,198.8626962,199.1817932,19774600
22-08-2025,Google,202.1533109,207.9467814,200.727386,205.5037537,42827000
25-08-2025,Google,205.8427741,209.921151,204.6960515,207.8969269,29928900
26-08-2025,Google,206.9196933,207.2587377,205.1148446,206.5507507,28464100
27-08-2025,Google,205.1148505,208.3157258,205.0649897,206.8897858,23022900
28-08-2025,Google,206.6604374,211.6163005,206.311427,211.0379486,32339300
29-08-2025,Google,209.9111698,214.0393924,209.6020541,212.3043518,39728400
02-09-2025,Google,207.8470688,211.0778424,205.6134352,210.7487946,47523000
03-09-2025,Google,225.5665221,230.6520054,224.1505481,230.0038605,103336100
04-09-2025,Google,228.9967199,231.7089836,225.4667966,231.6391907,51684200
