Date,Company,Open,High,Low,Close,Volume,Year,Month,Day,Price Change,Daily Return %,MA20,MA50
28-09-2020,Apple,111.5566727,111.8573622,109.3936282,111.5081711,137672400,2020,September,28,-0.0485016,-0.043477094,112.3602882,108.8724919
29-09-2020,Apple,111.1104705,111.847645,110.1598931,110.6642761,99382200,2020,September,29,-0.4461944,-0.401577275,111.6352314,109.1811278
30-09-2020,Apple,110.3732607,113.7390692,110.208367,112.3326035,142675200,2020,September,30,1.9593428,1.775196988,110.74431,109.5494176
01-10-2020,Apple,114.1076945,114.1852941,112.3520446,113.2832184,116120400,2020,October,1,-0.8244761,-0.722542072,110.0357464,109.931443
02-10-2020,Apple,109.5003404,111.9058786,108.8504597,109.6264343,144712000,2020,October,2,0.1260939,0.115153889,109.6545467,110.3260695
05-10-2020,Apple,110.4896797,113.1474048,110.1404886,113.0019073,106243800,2020,October,5,2.5122276,2.273721498,109.4382423,110.7926593
06-10-2020,Apple,112.2259411,112.6333356,108.8795351,109.7622147,161498200,2020,October,6,-2.4637264,-2.195327012,109.4547318,111.1519495
07-10-2020,Apple,111.1783857,112.0804616,110.7030933,111.6245728,96849000,2020,October,7,0.4461871,0.401325399,109.346096,111.5786478
08-10-2020,Apple,112.7594254,112.9049229,111.1492657,111.5178604,83477200,2020,October,8,-1.241565,-1.101074252,109.417873,111.9685971
09-10-2020,Apple,111.8185668,113.4869227,111.4693757,113.4578247,100506900,2020,October,9,1.6392579,1.465997953,109.6589123,112.3750761
12-10-2020,Apple,116.455044,121.4213122,115.6984657,120.6647339,240226800,2020,October,12,4.2096899,3.614862659,110.0973408,112.7306926
13-10-2020,Apple,121.5086181,121.6250176,116.05737,117.463829,262330500,2020,October,13,-4.0447891,-3.328808411,110.3669937,112.9704425
